"product_name","text","rating"
"[NEW] Pureoroko C-58 water steam [NEW]","but now working well and a great item. ",5
"Train Tech SK2 Home Signal Kit with R/G LEDs","Five Stars ",5
"Kato 11-105 Small Type Moter Unit (for Bandais B-train Shorty)","Top quality chassis ",5
"Class 47 47365 Diamond Jubilee BR Railfreight Distribution","I dont own any of Heljans 47 but I find ... ",4
"Piko 59497","Piko at her best! ",5
"Dapol Model Railway City of Truro Plastic Kit - OO Scale 1/76","An Excellent Kit ",4
"Ratio 575 Permanent Way Set (4 Wagons)","Five Stars ",5
"Piko H0 57633 H0 2.Kl. Personenwagen der DR B 2. Klasse der DR","Really nice quality ",5
"Hornby 00 Gauge 152mm GNR 0-6-2T Steam Locomotive Model","Five Stars ",5
"SalesLa New Charming 4 Piece Wood Christmas Railway Wooden Train with 1 Engine Xmas Ornament Decor Gift Green","Five Stars ",5
"Dapol C102A 57ft Stanier Corridor Brake LMS Maroon Lined 5530 Kit","Looks as good as a ready-to-run model. Easy click together build. ",4
"Corgi 1:120 Scale Rail Legends Trigo A3 Class Die Cast Stream Locomotive","... received this lovely train today and I am really happy with this purchase ",5
"Märklin my world Battery Operated Signal","Good Buy ",5
"Bachmann 35-077 Class E4 0-6-2 32556 BR Black Early Emblem","Excellent engine arrived a day earlier than expected ",5
"Thomas and Friends Track Master Dockside Delivery Crane Cargo and Cars Set","Five Stars ",5
"20Pcs Single-Head Model Garden Lights Lamppost Lamp Layout Scale: 1/100--Black","So cheap but an excellent product. At this price any bulb failures experienced ... ",5
"Hornby 00 Gauge 247mm BR Gresley Teak Buffet Coach Model (Blue/ Grey)","A very good model with only a few of shortcomings ",5
"Hornby 00 Gauge BR Peppercorn Class A1 Tornado Mainline Blue Sound Steam Locomotive","Excellent as far as I can test... ",5
"Learning Curve Chuggington Interactive Bridges & Tunnels Starter Set","Brilliant idea but not as good as it seems...... ",4
"Hornby R3125 GWR 2-8-0T Class 52XX 00 Gauge Steam Locomotive","Five Stars ",5
"Hornby 00 Gauge R3169 RailRoad GWR 4-6-0 Olton Hall 4900 Hall Class Locomotive","Five Stars ",5
"Graham Farish 374-807 BR Mk1 RFO Restaurant Car Crimson & Cream","nicely modelled and free running ",4
"30 Ton Bogie Bolster BR Grey With Steel Pipes","Five Stars ",5
"Hornby R3162A BR 2-BIL 2 Car EMU Pack","Five Stars ",5
"Ratio 610 GWR 4 wheel 3rd class 5 compartment coach","Five Stars ",5
"Hornby 00 Gauge 152mm BR 0-6-2T Steam Locomotive Model","Five Stars ",5
"Learning Curve Chuggington Interactive Koko","Good ",3
"Power Trains 2 Pack - Graffiti Freight","Five Stars ",5
"Carousel Wooden Train Set (100 Piece)","A good safe toy for infants to play with.  Recommended. ",4
"Hornby Model Railway Railroad 0-4-0 Transatlanic Industries Train OO Gauge R3212","john burns ",5
"Piko 36165 35mm Metal Wheels (2 Axles)","Five Stars ",5
"Hornby 00 Gauge R3231 BR 0-6-0 J15 Class - Early BR Steam Locomotive","A superb model incorporates a stunning amount of fine detail. ",5
"TRIX T23228","A finely-detailed HO-scale model ",5
"Coal Imitation 00 Gauge","Four Stars ",4
"Learning Curve Thomas the Tank Duncan","duncan ",5
"Walthers Trainline 931-1676 TL 50 PD Boxcar ATSF","Walthers Trainline make great but not expensive freight cars - and they ... ",5
"Preiser 30411 Horse Drawn Box Wagon","An excellent HO scale diorama piece ",5
"Series 225-5000 [Kansai Airport Kishu-ji Rapid Service] (4-Car Set) (Model Train)","This is a first class model up to the ... ",5
"Lightweight HyDroc","Five Stars ",5
"Hornby 00 Gauge R4526 RailRoad Night Mail Operating Mail - GWR Chocolate and Cream Coach","... a suppurb addion to any train set n kids love hanging mail bags on the hook that the coach ... ",4
"Hornby West Coast Highlander","train set ",5
"Ratio 476 LMS Round Post Signal Kits","Ratio - right away! ",5
"Roco 64722 OBB Railjet Economy Coach V","Excellent model in perfect condition from reputeable amazon seller ",5
"N gauge 10-1221 E7 system Hokuriku Shinkansen basic set (3 cars)","Good Shinkansen model ",5
"BR Mk1 SLF Sleeper Car Maroon","No sleeping on this design job! ",4
"Kato 23-233 Wooden Station & Buildings","Five Stars ",5
"Peco ST-3 Setrack 1st Radius Standard Curve","Peco n gauge track. ",5
"Hornby R3060 RailRoad BR Tornado Class A1 00 Gauge Steam Locomotive","Good model for a collection ",5
"Hornby 00 Gauge 270mm BR Mk1 Corridor Composite BR Maroon Coach Model","Runs well... need some mock passengers in ... ",4
"Toy Train Set High Speed EMU Toy Train with Flashing Light & Music Kids Toys Gift","Five Stars ",5
"Model Railway OO / HO Scale C88 Schools Class Kings Wimbledon Locomotive Plastic Kit","Five Stars ",5
"Hornby Gauge Eurostar 2014 Train Set","Arrived as expected and worked fine straight out of the box ",4
"Corgi 1:50 Fowler Showmans Valiant Pat Collins Amusements on Tour Steam Vehicle Model","Fantastic detail! A beautiful model traction engine ",5
"Power Trains Motorized Train Set Freight Military Engine","very good quality ",5
"Fisher Price Thomas and Friends Take-n-play(TM) Talking James","Excellent ",5
"Hornby 00 Gauge RailRoad GWR Restaurant Coach Model","good clean model. ",4
"Kato N Gauge Train Set Case (Kato PlaRail Model Train) [Toy]","Best protection & organiser for n gauge coach rakes ",5
"20pcs Scale 1/200 Model Single Head Street Lights Lamppost","Five Stars ",5
"Dapol 2P-000-101 Collett BR Maroon/Crimson 2nd Class W1117","fab ",5
"Hornby 00 Gauge 270mm BR Mk1 Corridor Second BR Coach Model (Chocolate/ Cream)","a good buy thanks ",5
"Hornby Gauge Flying Scotsman NRM 2015 Rededication Steam Locomotive","Excellent detail. ",4
"Hornby R1151 Caledonian Belle 00 Gauge Electric Train Set","Great value intro set ",5
"31-465 Bachmann OO - Class C Wainwright 0-6-0 31579 in BR black with late crest","Good representation ",4
"Faller H0 140429 Fairground Ride Rainbow Millennium","Brilliant Kit! ",5
"Power Trains Motorized Train Set Freight Industrial Engine","Five Stars ",5
"Hornby R2987 Brighton Belle 1934 00 Gauge DCC Ready 2 Car Pack","Brilliant Brighton Belle ",5
"Jouef HJ4058 SNCF Type 36 Baggage Coach IV","Five Stars ",5
"Bachmann 31-137 Class D11/2 6399 Allan-Bane LNER Green","Excellent! ",5
"Bachmann 37-685 14 Ton Tank Wagon With Large Filler Mex Lamp Oils","Five Stars ",5
"Thomas & Friends Trackmaster Diesel 10 Motorised Engine","Another fantastic addition to the trackmaster trains ",5
"TRIX T23471 H0 Express coach 1./3. class of K.BAY.STS. B 3. Class","A nicely-detailed HO-scale model ",5
"Kato 10-809 Freight Train 6 Car Set","Five Stars ",5
"LMS 60ft Porthole Corridor Composite BR","Five Stars ",5
"Preiser 30468 Horse Drawn Open Farm Cart","An excellent HO scale diorama piece ",5
"Plarail - S-24 Series 485 Limited Express Train (Model Train)","Smashing ",5
"Corgi 1:120 Scale Rail Legends Silver Link A4 ClassDie Cast Stream Locomotive","Beautiful ",5
"Hornby Gauge Sentinel Barabel Locomotive","Five Stars ",5
"Plan Toys Cargo Train","A****************************************** product ",5
"Hornby 00 Gauge 510mm BR 2-BIL 2 Car Electric Multiple Unit Train Model","Five Stars ",5
"Dapol Model Railway BR Mogul Class Locomotive Plastic Kit - OO Scale 1/76","Realistic model with plenty of detail ",4
"Dapol 2D-020-002 London Midland Class 153 371","Four Stars ",4
"B Train Shorty DD51 Diesel Locomotive Renewal Car A(Blue) & B(Red) (2-Car Set) (Model Train)","B Train Shorty DD51 Diesel Locos ",5
"Dapol Model Railway Signal Gantry Plastic Kit - OO Scale 1/76","Dapol gantry ",5
"Atlas 22050 Friction-Bearing Trucks (1 Pr)","and I was very pleased with the results ",5
"Hornby R3119 LMS Duchess Of Abercorn - No Smoke Deflectors 00 Gauge Steam Locomotive","Five Stars ",5
"Plan Toys Fuel Train","toys ",5
"10pcs Scale 1/500 3V Single-Head Model Street Lights Lamppost for Scenary Lighting","Light up your (model) world ",5
"Corgi 1:120 Scale Rail Legends Sir Nigel Gresley A4 Class 60007 Die Cast Stream Locomotive","A quality scale model - not a toy! ",5
"Hornby Railroad 00 Gauge LNER Class A4 Gadwell with TTS Sound Steam Locomotive","Replacement Fine ",5
"Hornby R322 OO Scale Class 8F 2-8-0 Steam Locomotive BR Plain Black Livery Number 48758","Please check the picture ",5
"Rail King Intelligent Classical Train Track Set With Light Smoke & Train Sound Huge Size XMAS GIFT","Five Stars ",5
"BR Mk1 SLSTP Sleeper Car Maroon","Four Stars ",4
"Hornby R1167 Flying Scotsman 00 Gauge Electric Train Set","Great train set good value for money ",4
"Hornby R3036XS BR Railfreight Class 08 00 Gauge DCC Fitted Sound Diesel Electric Locomotive","GREAT ",5
"Viessmann 5550 Universal Toggle Switches Panel (4 Switches)","does the job ",4
"J.R. Electric Locomotive Type EH500 (Third Edition) (Model Train)","Five Stars ",5
